ID,EC,OM,BD,P,SAND,SILT,CLAY,N,K,Ca,Mg,Na,CEC,SAR,ESP,Class.pH
225,0.5,0.3,1.6,18.5,36.2,31.3,32.5,0.2,0.1,8.9,8.3,0.3,21.9,0,0,Moderately acidic
226,0.5,1.8,1.4,12.3,74.9,13.1,11.1,30.12,1.1,13.7,3.2,10.6,6.1,1.1,1.5,Moderately alkaline
16.8,2.6,1.6,1.3,6.1,24.2,16,59.8,0.1,1,8.3,6.1,0.3,74,0,0,Moderately alkaline
17.8,2.3,1.9,1.3,10.1,26.2,18.7,55.1,0.1,2.1,44.7,7.6,1.1,21.6,0.1,0.1,Moderately alkaline
234,0.3,0.3,1.6,18.5,35.5,25.3,39.2,0.2,30.12,8.5,4.2,0.7,30.6,0.1,0,Strongly acidic
235,0.3,1.9,1.3,6.1,57.5,19.1,22.5,0.1,0.4,1.5,0.3,30.12,4.2,0,0,Moderately acidic
238,0.3,0.5,1.7,6.2,21.5,26.7,51.8,0.1,2.4,23.9,13.5,1.5,50.7,0.1,0,Moderately alkaline
240,0.4,1.1,1.5,6.1,49.5,19.1,30.5,0.1,0.5,1.9,0.3,30.12,5.4,0,0,Moderately acidic
28.8,4.4,1.4,1.3,32.4,16.2,22,61.8,0.1,0.7,2.1,2.2,0.2,43.2,0.1,0,Neutral
244,0.8,3.3,1.3,4.1,26.2,36.7,37.1,0.1,3.1,22.3,9.6,0.9,52.1,0.1,0,Moderately acidic
1.9,5.7,1.4,1.3,4.1,10.2,46.7,43.1,0.1,2.2,20.7,10,0.5,42.1,0,0,Moderately acidic
252,0.2,2.2,1.4,18.1,30.9,15.3,53.8,0.1,1.3,67.7,5.2,0.9,61.1,0,0,Moderately alkaline
253,0.3,2.5,1.3,2,26.2,22.7,19.2,0.2,1.5,16.9,1.4,1.5,16.9,0.1,0.1,Strongly alkaline
263,0.3,0.8,1.3,0,34.2,6.2,27.8,0.1,0.7,43.3,20.1,0.6,18.4,0,0,Moderately alkaline
264,0.2,2.2,1.3,22.1,10.2,26,63.8,0.1,0.9,30.12,1.1,1.6,2.7,2.1,0.6,Moderately acidic
266,0.2,0.9,1.5,3.9,30.9,19.3,49.8,0.1,1.1,3.4,8.1,1.2,6.4,0.2,0.2,Moderately alkaline
23.9,4.6,2.9,1.3,26.2,40.8,2.2,25.2,0.2,1.1,6.6,31.12,1.6,36.1,0.3,0,Moderately acidic
269,0.4,1.1,1.4,6.2,18.2,20.2,29.8,0.1,1.9,24.1,4.6,3.4,16.8,0.2,0.2,Moderately alkaline
270,0.6,2.6,1.6,10.3,46.2,8.2,13.8,30.12,1.2,28.3,2.7,0.4,15.4,0,0,Strongly alkaline
271,0.4,0.5,1.3,6.1,77.5,3.1,18.5,0.1,0.3,1.1,0.4,30.12,2.4,0,0,Moderately acidic
273,0.6,0.9,1.4,5.9,14.2,30,55.8,0.1,1.3,9.4,7.5,1.5,35.5,0.2,0,Strongly acidic
274,0.7,0.5,1.5,70.5,79.5,7.3,13.2,0.1,0.4,3.9,0.4,30.12,9.3,0,0,Moderately acidic
275,0.5,3.2,1.4,18.5,18.2,30,51.8,0.2,0.1,31.5,2.8,0.3,26.2,0,0,Moderately alkaline
276,0.8,2.6,1.5,20.5,29.5,22.7,47.8,0.1,0.9,30.8,10.1,2.5,65.6,0.1,0,Moderately acidic
278,0.7,2.7,1.3,2,41.5,22,36.5,0.1,0.9,0.5,2.3,2.2,4.1,1.3,0.4,Moderately alkaline
279,0.4,4.1,1.3,4.1,38.2,26.7,35.1,0.1,1.9,23.2,10.4,0.9,41.1,0,0,Neutral
282,0.4,1.2,1.3,11.8,24.2,38,37.8,0.1,1.7,15.2,5.7,0.4,17.8,0,0,Neutral
284,0.3,1.8,1.4,2,40.2,30.7,29.1,0.1,1.3,12.9,1.5,0.1,23.4,0,0,Moderately acidic
11.10,11.4,1.5,1.3,2,51.5,16,32.5,0.1,0.9,2.9,2.5,0.1,4.8,0,0,Moderately acidic
286,0.2,2.9,1.6,2.1,10.9,23.3,65.8,0.1,31.12,3.5,14.7,1.5,28.4,0.1,0.1,Moderately alkaline
287,0.5,3.2,1.6,4.1,20.2,26.7,53.1,0.1,2.1,13.5,11.7,0.2,48.6,0,0,Neutral
288,0.4,2.6,1.4,2.1,8.9,41.3,49.8,0.1,0.3,3.8,0.8,1.6,22.8,0.6,0.1,Moderately alkaline
289,0.3,0.3,1.8,17.1,54.2,29.1,15.8,0,30.12,1.8,0.8,0.1,6.2,0.1,0,Strongly acidic
290,0.5,1.9,1.3,4.1,37.5,26,36.5,0.1,1.7,46.3,3,0.8,35.2,0,0,Moderately alkaline
291,0.5,1.4,1.5,4.1,54.9,13.3,31.8,0.1,1.3,18.1,2.4,1.1,21.2,0.1,0.1,Moderately alkaline
292,0.5,2.8,1.4,3.9,38.9,25.3,35.8,0.1,0.6,3.3,5.1,0.4,7,0.1,0.1,Moderately alkaline
293,0.4,1.1,1.3,9.8,14,34,52,0.1,2.7,21.2,6.1,3.5,42.3,0.1,0.1,Moderately alkaline
20.10,1.2,2.3,1.2,15.7,82.2,7.1,9.8,0.1,0.1,6.5,2.7,30.12,4.8,0,0,Strongly acidic
295,0.7,1.5,1.3,5.9,36.2,10.2,21.8,0.1,2.4,11.1,3.9,0.3,18.5,0,0,Neutral
301,0.5,1.5,1.3,14.4,26.9,17.3,55.8,0.3,0.8,22.1,1.9,0.2,38,0,0,Moderately alkaline
302,0.1,0.7,1.7,NA,38.2,12,49.8,0.1,1.1,53.6,3.1,0.4,62.4,0,0,Moderately alkaline
304,0.3,1.4,1.3,1.1,10.9,7.8,81.2,0.1,1.6,40.5,19.2,5,83,0.2,0.1,Moderately alkaline
305,0.4,2.1,1.4,10.3,14.9,41.3,43.8,0.2,2.3,46.4,5.3,31.12,27.7,0,0,Moderately alkaline
2.11,1.6,2.6,1.3,29.8,26.2,19.3,54.5,0.2,2.7,31.4,3.4,0,36,0,0,Moderately alkaline
314,0.3,1.2,1.5,7.1,18.2,44.7,37.1,0.1,2,36.3,6.1,0.6,12,0,0.1,Moderately alkaline
315,0.3,1.2,1.4,4.1,52.9,31.3,15.8,0.1,1.8,16.1,2.5,2.3,28.6,0.2,0.1,Moderately alkaline
316,0.1,0.8,1.6,5,9.1,22.7,67.2,0.3,0.5,84.6,6.2,0.4,86.2,0,0,Moderately alkaline
12.11,6.4,1.2,1.4,9.8,20,22,58,0.1,0.9,43.5,4.9,1.6,32.3,0.1,0.1,Moderately alkaline
324,0.4,1.2,1.3,10.3,10.2,36,53.8,0.1,1.8,48.2,30.12,1.4,50.1,0,0,Moderately alkaline
326,0.3,2.3,1.3,4.1,22.9,41.3,35.8,0.1,1.6,8.5,2.4,0.6,25.2,0.1,0,Moderately acidic
328,0.3,2.7,1.3,4.1,52.9,25.3,21.8,0.1,1.2,6.5,1.9,0.3,20.2,0.1,0,Moderately acidic
330,0.7,1.5,1.4,19.6,64.2,21.1,13.8,0.1,1.2,29.1,5.8,0.5,18.1,0,0,Moderately alkaline
334,0.4,2.3,1.4,30.12,24.2,36,39.8,0.1,0.9,56.1,7.4,0.2,20.2,0,0,Moderately alkaline
337,0.4,1.3,1.3,24.7,63.5,21.3,15.2,0.4,1.1,5.3,1.4,0,12,0,0,Moderately acidic
338,0.4,4.5,1.3,18.5,45.5,22,32.5,0.2,0.8,51.1,1.4,0.4,31,0,0,Moderately alkaline
339,0.4,1.1,1.2,16.4,37.5,28,34.5,0.1,0.1,11.3,0.9,30.12,23.1,0,0,Strongly alkaline
340,0.3,2.5,1.4,4.1,44,36,20,0.1,0.9,6.6,1.4,0.7,12.2,0.2,0.1,Neutral
9.12,1.6,2.3,1.3,35.3,28.8,32,39.2,0.1,1.3,10.2,4.7,1.5,21.8,0.2,0.1,Moderately alkaline
346,0.3,3.1,1.3,3.9,26.9,15.3,57.8,0.1,1.9,4.4,7.1,0.9,33.4,0.2,0,Moderately alkaline
16.12,2.7,1.8,1.4,30.12,12.2,16,71.8,0.1,0.8,74.5,4,0.5,51.8,0,0,Moderately alkaline
352,0.3,1.1,1.2,12.3,59.5,18.7,21.8,0,1,8.1,3.2,0.2,24.9,0,0,Moderately alkaline
354,0.4,1.1,1.3,12.3,30.2,20,49.8,0.1,1.1,15.3,4.8,1.5,32.7,0.1,0,Neutral
355,0.6,2.5,1.3,7.8,6.2,18.7,75.1,0.1,2,54.3,2.8,14.9,36,0.4,0.4,Moderately alkaline
356,0.4,1.2,1.3,6.9,26.8,34,39.2,0.1,1.3,21.5,9.8,0.4,45.1,0,0,Neutral
22.12,1.5,15.1,1.7,16.7,17.5,14,68.5,0.1,0.4,16.4,1.6,30.12,19.7,0,0,Moderately acidic
358,0.4,4.4,1.1,8.8,6,40,54,0.1,3.2,62.5,6.1,1.9,57.4,0,0,Moderately alkaline
359,0.2,1.7,1.4,8.8,34,56,10,0.1,1.7,99.9,10.7,3.8,31.7,0.1,0.1,Moderately alkaline
360,0.3,4.1,1.3,5.9,24.2,56.7,19.1,0.1,2.5,8.6,3.3,0.5,17.9,0.1,0,Moderately acidic
364,0.3,2.3,1.4,2,42.9,29.8,27.2,0.1,1.5,21.1,11.8,0.4,49.7,0,0,Neutral
365,0.3,1.8,1.4,NA,58.2,27.1,13.8,0.1,1.2,5.6,1.2,0.1,17.8,0,0,Moderately acidic
366,0.3,2.6,1.3,6,82.9,9.3,7.8,0.1,0.3,5.7,0.4,0.5,7.2,0.1,0.1,Neutral
370,0.3,1.8,1.4,6,40.9,25.3,33.8,0.1,2.7,21.1,3.7,1.7,31,0.1,0.1,Moderately acidic
371,0.2,2.3,1.4,5.1,20.9,44,35.1,0.1,3.3,84.7,24.2,19.5,36.5,0.3,0.5,Moderately alkaline
6.1,2.2,0.3,1.3,14.4,33.5,4.2,30.5,0.1,0.2,24.6,2.5,0.6,9.1,0,0.1,Neutral
377,0.5,1.5,1.7,NA,60.2,25.1,13.8,0.1,0.6,4.4,0.8,0.1,24.9,0,0,Neutral
379,0.2,2.5,1.4,2,32.2,20,47.8,0.5,0.9,23.9,8,0.9,35.1,0,0,Neutral
380,0.3,2.5,1.4,NA,80.2,9.1,9.8,0.1,0.8,5.6,1.1,0.4,9.1,0.1,0,Moderately alkaline
381,0.2,2.9,1.4,NA,58.2,13.1,27.8,0.1,1.3,15.4,5.5,12.4,19.7,1.1,0.6,Moderately alkaline
384,0.3,1.5,1.4,NA,20.2,40,39.8,0.1,1.5,26.1,7.1,0.3,36.3,0,0,Moderately alkaline
385,0.5,1.8,1.4,NA,42.2,16,41.8,0.2,4.3,26.4,8.4,0.1,26.4,0,0,Moderately alkaline
389,0.3,3.5,1.4,NA,76.2,7.1,15.8,0,0.7,10.1,1.9,30.12,8.2,0,0,Moderately alkaline
390,0.6,1.6,1.3,NA,54.2,17.1,27.8,0.1,1.7,4.4,2.9,30.12,6.8,0,0,Moderately acidic
391,0.3,0.8,1.3,12.3,50.2,14,35.8,0.1,1.6,38.4,3.2,1.4,19.2,0.1,0.1,Strongly alkaline
394,0.9,2.3,1.5,7.8,20,24,56,0.3,5.2,22.4,6.9,0.5,25.7,0,0,Moderately acidic
395,0.9,3.3,1.4,23.5,21.5,51.3,27.2,0.2,0.7,6.4,2.5,30.12,10.2,0,0,Moderately acidic
